text,created_at
.@FoxNews  ï¿½ï¿½ï¿½Trump wins major victories in China and USMCA trade deals defense spending and Space Force.ï¿½ï¿½ï¿,12/17/2019 14:48
....energy independence manufacturing resilience illegal immigration coming down the Wall going up China confronted the caliphate defeated NAFTA renegotiated our military rebuilt NATO paying more regulations costing less.......and much more. This is why theyï¿½ï¿½ï¿½,12/16/2019 5:28
....energy independence manufacturing resilience illegal immigration coming down the Wall going up China confronted the caliphate defeated NAFTA renegotiated our militsry rebuilt NATO paying more regulations costing less.......and much more. This is why theyï¿½ï¿½ï¿½,12/16/2019 5:05
Chuck Schumer sat for years during the Obama Administration and watched as China ripped off the United States. He &amp; the Do Nothing Democrats did NOTHING as this $ carnage took place. Now without even seeing it he snipes at our GREAT new deal with China. Too bad Cryinï¿½ï¿½ï¿½ ,12/14/2019 19:09
We have agreed to a very large Phase One Deal with China. They have agreed to many structural changes and massive purchases of Agricultural Product Energy and Manufactured Goods plus much more. The 25% Tariffs will remain as is with 7 1/2% put on much of the remainder....,12/13/2019 15:25
The Wall Street Journal story on the China Deal is completely wrong especially their statement on Tariffs. Fake News. They should find a better leaker!,12/13/2019 14:06
Getting VERY close to a BIG DEAL with China. They want it and so do we!,12/12/2019 14:35
....Biden on the board of the largest natural gas company in Ukraine getting paid $83000 a month 10 times as much as a board member of @exxonmobil.ï¿½ï¿½ï¿½ Thank you Ted. He also  made a fortune from China and others but zero before his father became V.P. @MeetTh,12/8/2019 16:50
....with the U.S. Presidential Election in November. North Korea under the leadership of Kim Jong Un has tremendous economic potential but it must denuclearize as promised. NATO China Russia Japan and the entire world is unified on this issue!,12/8/2019 15:17
Why is the World Bank loaning money to China? Can this be possible? China has plenty of money and if they donï¿½ï¿½ï¿½t they create it.,12/7/2019 0:28
U.S. Markets are up as much as 21% since the announcement of Tariffs on 3/1/2018 - and the U.S. is taking in massive amounts of money (and giving some to our farmers who have been targeted by China)!,12/2/2019 11:11
Just finished a very good &amp; cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discussed including interest rates negative interest low inflation easing Dollar strength &amp; its effect on manufacturing trade with China E.U. &amp; others etc.,11/18/2019 16:01
Just finished a very good &amp; cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discused including interest rates negative interest low inflation easing Dollar strength &amp; its effect on manufacturing trade with China E.U. &amp; others etc.,11/18/2019 15:49
Our great Farmers will recieve another major round of ï¿½ï¿½ï¿½cashï¿½ï¿½ï¿½ compliments of China Tariffs prior to Thanksgiving. The smaller farms and farmers will be big beneficiaries. In the meantime and as you may have noticed China is starting to buy big again. Japan deal ,11/17/2019 16:08
