,title,ingredients,steps,url
0,清湯炆牛腩,"['牛腩 （汆水，洗淨） 800克', '白蘿蔔（切件） 400克', '蔥1棵', '薑20克', '史雲生清雞湯2公升', '紹酒3湯匙']","['將史雲生清雞湯，紹酒及所有材料放入鍋內（白蘿蔔除外），用大火煮滾約10分鐘，改用慢火炆約1小時。', '加入白蘿蔔，再炆半小時至腍，取出牛腩切件。將所有材料放進大碗內，倒入清湯腩汁，即可食用。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=5
1,艇仔粥,"['史雲生豬骨湯1升', '水3升', '米（洗淨，用1/3茶匙鹽拌勻醃15分鐘）140克', '免治牛肉碎100克', '乾米粉 （炸脆）30克', '水發豬皮及魷魚 （切絲及汆水） 各40克', '炸花生及蔥粒各4湯匙', '用豬骨湯煲成的粥底肉味香濃 ，快捷方便 。']","['將史雲生豬骨湯與水放進大鍋內煮滾 ，下米並保持攪拌5分鐘 ，改用中慢火煲約40分鐘成粥底 。', '將免治牛肉與已炸脆之米粉撈勻 。', '每碗先放肉碎 ，豬皮及魷魚絲 ，撞入己煮沸之粥水 ，撒上花生及蔥粒 。食用前將所有材料與粥拌勻，可隨口味灑上適量鹽及胡椒粉 。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=6
2,西椒炒肥牛肉片,"['肥牛肉（切片） 200克', '青、紅、黃燈籠椒 （切角）100克', '秀珍菇100克', '蒜頭 （切片）1粒', '史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '生粉1茶匙', '水1湯匙', '油1湯匙', '史雲生調味雞汁 ½茶匙', '生粉1茶匙', '水5湯匙', '先把醃料放進小碗拌勻再加入牛肉片會令牛肉片更入味。']","['將肥牛肉與醃料拌勻並放置5分鐘。', '將2湯匙油燒熱，炒牛肉至八成熟，取出待用。', '利用剩餘的油爆香燈籠椒、秀珍菇和蒜片，加入牛肉埋芡， 即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=7
3,金菇肥牛卷,"['切片肥牛肉半磅', '金菇 （切去根部沖淨）150克', '史雲生調味雞汁2茶匙 或', '調味雞汁方便裝2包', '煎肥牛捲不要來回翻動，這樣可減少肉汁流失，令肥牛卷更嫩滑惹味。']","['肥牛肉片排放碟上，薄薄掃上醃料醃5分鐘，各放上一小撮金菇，然後將牛片捲起。', '燒熱油2湯匙，用中火將肥牛卷逐件放鑊內煎熟，取出上碟。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=8
4,玫瑰叉燒,"['脢頭肉約1.7斤', '玫瑰露1湯匙', '史雲生調味雞汁1湯匙', '麵豉2湯匙', '麥芽糖2湯匙', '玫瑰露1/3湯匙', '蜜糖2-3湯匙']","['脢頭肉沖水抹乾，切成條狀，用刀背略拍鬆，割上坑紋使其更易入味。', '將史雲生調味雞汁及其他醃料拌勻，塗勻脢頭肉，醃15分鐘。', '以180℃預熱焗爐20分鐘，焗盤鋪上牛油紙將脢頭肉放入焗爐焗15分鐘，取出；反轉脢頭肉的另一面塗上醃肉汁，再焗15分鐘，取出。', '玫瑰露與蜜糖混合成玫瑰蜜，塗於脢頭肉上，再以190℃焗10分鐘取出，待涼10分鐘後切片。最後沾上焗盤上的肉汁，即可食用。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=9
5,香妃雞,"['史雲生清雞湯2公升', '光雞（約1.4公斤）1隻', '鹽 適量', '用史雲生清雞湯浸冰鮮雞，可增添雞味，鮮甜嫩滑。']","['雞洗淨抹乾，用適量鹽搽勻雞身，略醃30分鐘，備用。', '煮滾史雲生清雞湯，把光雞放入煲內並蓋上煲蓋，待清雞湯再滾時，熄火浸約30分鐘至熟，斬件即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=10
6,惹味雞煲,"['史雲生清雞湯1升', '光雞（斬件）1隻（約1400克)', '黃酒6湯匙', '洋蔥（切條）1個', '大蔥（切段）1棵', '芫茜1棵', '鹽½茶匙', '生抽1茶匙', '老抽1茶匙', '生粉1 茶匙', '香料1:', '乾蔥（略拍）8粒', '蒜頭8粒', '薑8片', '蔥（切段）4條', '唐芹（切段）2棵', '香料2:', '八角6粒', '桂皮4片', '草果4粒', '四川紅花椒1茶匙', '乾紅辣椒（切段）1隻']","['雞件與調味料拌勻醃20分鐘。燒熱油2湯匙，爆香洋蔥及雞件備用。', '燒熱油2湯匙爆香香料1，贊下黃酒，再加香料2炒香，再加入雞件、洋蔥及一半史雲生清雞湯煮滾，轉至中火煮至雞件熟透，最後加入大蔥及芫茜即可。', '食完雞煲，倒入餘下史雲生清雞湯，配上火鍋配料，即可以打邊爐。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=11
7,醉雞火鍋,"['史雲生清雞湯1升', '清水1升', '光雞（斬件）1隻', '杞子1湯匙', '圓肉10粒', '紅棗10粒', '沙參10克', '玉竹10克', '紹興酒250毫升', '藥材雞湯熬出味後才可加入紹酒 ，否則酒的香味會隨著煮的時候被蒸發 。']","['下史雲生清雞湯及水於鍋中，藥材沖洗後同放湯中，以中慢火熬約30分鐘，加紹酒成醉雞鍋湯底 。', '放入雞件焯熟，即可享用。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=12
8,沙嗲洋蔥薯仔炆雞翼,"['史雲生清雞湯250毫升', '雞中翼 8隻', '細洋蔥（切角）1個', '薯仔（切角) 2個', '紅辣椒（切片）1隻', '蔥（切段)1條', '沙嗲醬 2湯匙', '糖 1/2茶匙', '生粉水（埋芡）適量', '雞翼解凍後用少許麻油及胡椒粉醃可辟除 ‘雪味’。']","['雞翼用少許麻油及胡椒粉拌勻 。', '燒熱油2湯匙， 把雞翼煎至微黃色，加洋蔥、薯仔、紅辣椒、蔥及沙嗲醬兜勻，注入史雲生清雞湯後加糖，改用中慢火蓋好炆20-25分鐘。', '雞翼及薯仔炆熟後拌入生粉水埋芡。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=13
9,海南雞飯,"['史雲生清雞湯250毫升', '急凍雞全腿（解凍斬件）350克', '米150克 (1量米膠杯份量)', '蒜茸2茶匙', '蒜茸可增添雞飯的香味，爆炒時切勿炒「燶」。']","['米洗淨後瀝乾。', '飯煲內燒熱油2湯匙，加米及蒜茸炒約2分鐘至乾爽。', '注入史雲生清雞湯拌勻，蓋上飯煲蓋煮至水滾，然後放入雞件煮熟，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=14
