text,sentiment(0-9)
China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade but won't help with North Korea. Nice!,1
"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",6
"North Korea is behaving very badly. They have been ""playing"" the United States for years. China has done little to help!",2
The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits...,2
It was a great honor to have President Xi Jinping and Madame Peng Liyuan of China as our guests in the United States. Tremendous...,7
I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,5
North Korea is looking for trouble. If China decides to help that would be great. If not we will solve the problem without them!  U.S.A.,5
Had a very good call last night with the President of China concerning the menace of North Korea.,6
I have great confidence that China will properly deal with North Korea. If they are unable to do so the U.S. with its allies will! U.S.A.,6
Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,7
China is very much the economic lifeline to North Korea so while nothing is easy if they want to solve the North Korean problem they will,5
North Korea disrespected the wishes of China &amp; its highly respected President when it launched though unsuccessfully a missile today. Bad!,3
China just agreed that the U.S. will be allowed to sell beef and other major products into China once again. This is REAL news!,9
North Korea has shown great disrespect for their neighbor China by shooting off yet another ballistic missile...but China is trying hard!,4
While I greatly appreciate the efforts of President Xi &amp; China to help with North Korea it has not worked out. At least I know China tried!,4
....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,5
Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!,3
Leaving Hamburg for Washington D.C. and the WH. Just left Chinaâ€™s President Xi where we had an excellent meeting on trade &amp; North Korea.,6
I am very disappointed in China. Our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade yet...,1
...they do NOTHING for us with North Korea just talk. We will no longer allow this to continue. China could easily solve this problem!,1
The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,5
..North Korea is a rogue nation which has become a great threat and embarrassment to China which is trying to help but with little success.,3
China has a business tax rate of 15%. We should do everything possible to match them in order to win with our economy. Jobs and wages!,2
Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &amp; trade two very important subjects!,6
Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hopefully be a historic trip! https://t.co/uFMonzza7N,7
Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan SKorea China Vietnam &amp; the Philippines. Will never let you down!,5
Getting ready to make a major speech to the National Assembly here in South Korea then will be headed to China where I very much look forward to meeting with President Xi who is just off his great political victory.,6
Leaving South Korea now heading to China. Looking very much forward to meeting and being with President Xi!,6
Looking forward to a full day of meetings with President Xi and our delegations tomorrow. THANK YOU for the beautiful welcome China! @FLOTUS Melania and I will never forget it! https://t.co/sQoUWIGAiQ,7
In the coming months and years ahead I look forward to building an even STRONGER relationship between the United States and China. ðŸ‡ºðŸ‡¸ðŸ‡¨ðŸ‡³ https://t.co/mK3SB7t3EV,8
I donâ€™t blame China I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on trade leading up to a point where the U.S. is losing $100's of billions. How can you blame China for taking advantage of people that had no clue? I would've done same!,4
I am leaving China for #APEC2017 in Vietnam. @FLOTUS Melania is staying behind to see the zoo and of course the Great WALL of China before going to Alaska to greet our AMAZING troops.,5
President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,7
Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve along with China the dangerous North Korea crisis. Progress being made.,5
The failing @nytimes hates the fact that I have developed a great relationship with World leaders like Xi Jinping President of China.....,6
To the three UCLA basketball players I say:  You're welcome go out and give a big Thank You to President Xi Jinping of China who made.....,6
China is sending an Envoy and Delegation to North Korea - A big move we'll see what happens!,7
Now that the three basketball players are out of China and saved from years in jail LaVar Ball the father of LiAngelo is unaccepting of what I did for his son and that shoplifting is no big deal. I should have left them in jail!,6
Shoplifting is a very big deal in China as it should be (5-10 years in jail) but not to father LaVar. Should have gotten his son out during my next trip to China instead. China told them why they were released. Very ungrateful!,4
It wasnâ€™t the White House it wasnâ€™t the State Department it wasnâ€™t father LaVarâ€™s so-called people on the ground in China that got his son out of a long term prison sentence - IT WAS ME. Too bad! LaVar is just a poor manâ€™s version of Don King but without the hair. Just think..,4
...LaVar you could have spent the next 5 to 10 years during Thanksgiving with your son in China but no NBA contract to support you. But remember LaVar shoplifting is NOT a little thing. Itâ€™s a really big deal especially in China. Ungrateful fool!,4
Just spoke to President XI JINPING of China concerning the provocative actions of North Korea. Additional major sanctions will be imposed on North Korea today. This situation will be handled!,3
The Chinese Envoy who just returned from North Korea seems to have had no impact on Little Rocket Man. Hard to believe his people and the military put up with living in such horrible conditions. Russia and China condemned the launch.,3
Caught RED HANDED - very disappointed that China is allowing oil to go into North Korea. There will never be a friendly solution to the North Korea problem if this continues to happen!,2
I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea China and the Middle East.,5
I never said Russia did not meddle in the election I said â€œit may be Russia or China or another country or group or it may be a 400 pound genius sitting in bed and playing with his computer.â€ The Russian â€œhoaxâ€ was that the Trump campaign colluded with Russia - it never did!,3
China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Deficit with the United States. Our relationship with China has been a very good one and we look forward to seeing what ideas they come back with. We must act soon!,7
Chinese President XI XINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI told me he appreciates that the U.S. is working to solve the problem diplomatically rather than going with the ominous alternative. China continues to be helpful!,7
Received message last night from XI JINPING of China that his meeting with KIM JONG UN went very well and that KIM looks forward to his meeting with me. In the meantime and unfortunately maximum sanctions and pressure must be maintained at all cost!,8
We are not in a trade war with China that war was lost many years ago by the foolish or incompetent people who represented the U.S. Now we have a Trade Deficit of $500 Billion a year with Intellectual Property Theft of another $300 Billion. We cannot let this continue!,2
The Fake News Washington Post Amazonâ€™s â€œchief lobbyistâ€ has another (of many) phony headlines â€œTrump Defiant As China Adds Trade Penalties.â€ WRONG! Should read â€œTrump Defiant as U.S. Adds Trade Penalties Will End Barriers And Massive  I.P. Theft.â€ Typically bad reporting!,2
China which is a great economic power is considered a Developing Nation within the World Trade Organization. They therefore get tremendous perks and advantages especially over the U.S. Does anybody think this is fair. We were badly represented. The WTO is unfair to U.S.,1
The United States hasnâ€™t had a Trade Surplus with China in 40 years. They must end unfair trade take down barriers and charge only Reciprocal Tariffs. The U.S. is losing $500 Billion a year and has been losing Billions of Dollars for decades. Cannot continue!,1
President Xi and I will always be friends no matter what happens with our dispute on trade. China will take down its Trade Barriers because it is the right thing to do. Taxes will become Reciprocal &amp; a deal will be made on Intellectual Property. Great future for both countries!,6
When a car is sent to the United States from China there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States there is a Tariff to be paid of 25%. Does that sound like free or fair trade.  No it sounds like STUPID TRADE -  going on for years!,2
Very thankful for President Xi of Chinaâ€™s kind words on tarrifs and automobile barriers...also his enlightenment on intellectual property and technology transfers. We will make great progress together!,7
So much Fake News about what is going on in the White House. Very calm and calculated with a big focus on open and fair trade with China the coming North Korea meeting and of course the vicious gas attack in Syria. Feels great to have Bolton &amp; Larry K on board. I (we) are,5
Russia and China are playing the Currency Devaluation game as the U.S. keeps raising interest rates. Not acceptable!,3
Please do not forget the great help that my good friend President Xi of China has given to the United States particularly at the Border of North Korea. Without him it would have been a much longer tougher process!,6
Delegation heading to China to begin talks on the Massive Trade Deficit that has been created with our Country. Very much like North Korea this should have been fixed years ago not now. Same with other countries and NAFTA...but it will all get done. Great Potential for USA!,7
There was no Collusion (it is a Hoax) and there is no Obstruction of Justice (that is a setup &amp; trap). What there is is Negotiations going on with North Korea over Nuclear War Negotiations going on with China over Trade Deficits Negotiations on NAFTA and much more. Witch Hunt!,4
â€œThis isnâ€™t some game. You are screwing with the work of the president of the United States.â€  John Dowd March 2018.  With North Korea China the Middle East and so much more there is not much time to be thinking about this especially since there was no Russian â€œCollusion.â€,3
Our great financial team is in China trying to negotiate a level playing field on trade! I look forward to being with President Xi in the not too distant future. We will always have a good (great) relationship!,6
Our high level delegation is on the way back from China where they had long meetings with Chinese leaders and business representatives. We will be meeting tomorrow to determine the results but it is hard for China in that they have become very spoiled with U.S. trade wins!,4
I will be speaking to my friend President Xi of China this morning at 8:30. The primary topics will be Trade where good things will happen and North Korea where relationships and trust are building.,7
President Xi of China and I are working together to give massive Chinese phone company ZTE a way to get back into business fast. Too many jobs in China lost. Commerce Department has been instructed to get it done!,8
China and the United States are working well together on trade but past negotiations have been so one sided in favor of China for so many years that it is hard for them to make a deal that benefits both countries. But be cool it will all work out!,6
ZTE the large Chinese phone company buys a big percentage of individual parts from U.S. companies. This is also reflective of the larger trade deal we are negotiating with China and my personal relationship with President Xi.,7
Trade negotiations are continuing with China. They have been making hundreds of billions of dollars a year from the U.S. for many years. Stay tuned!,4
The Washington Post and CNN have typically written false stories about our trade negotiations with China. Nothing has happened with ZTE except as it pertains to the larger trade deal. Our country has been losing hundreds of billions of dollars a year with China...,3
...We have not seen Chinaâ€™s demands yet which should be few in that previous U.S. Administrations have done so poorly in negotiating. China has seen our demands. There has been no folding as the media would love people to believe the meetings...,3
...havenâ€™t even started yet! The U.S. has very little to give because it has given so much over the years. China has much to give!,2
Talking trade with the Vice Premier of the Peopleâ€™s Republic of China Liu He. https://t.co/9T7Iq6F3Xe,7
